period,value
31/12/2003,31.69990543
30/11/2003,31.43865775
31/10/2003,31.25522852
30/09/2003,31.28857929
31/08/2003,31.28857929
31/07/2003,31.28857929
30/06/2003,31.40530698
31/05/2003,31.47756698
30/04/2003,31.51647621
31/03/2003,31.51647621
28/02/2003,31.69990543
31/01/2003,31.03289006
31/12/2002,30.77164238
30/11/2002,30.66047315
31/10/2002,30.58265469
30/09/2002,30.47148546
31/08/2002,30.43813469
31/07/2002,30.39922546
30/06/2002,30.43813469
31/05/2002,30.39922546
30/04/2002,30.28805623
31/03/2002,30.28805623
28/02/2002,30.54930392
31/01/2002,29.87673009
31/12/2001,29.54878087
30/11/2001,29.30420856
31/10/2001,29.23194857
30/09/2001,29.28197472
31/08/2001,29.13189626
31/07/2001,29.13189626
30/06/2001,29.18192241
31/05/2001,29.18192241
30/04/2001,29.23194857
31/03/2001,29.37646856
28/02/2001,29.59880702
31/01/2001,29.47652087
31/12/2000,29.40426087
30/11/2000,29.37646856
31/10/2000,29.10966241
30/09/2000,29.08187011
31/08/2000,29.13189626
31/07/2000,29.10966241
30/06/2000,29.28197472
31/05/2000,29.42649472
30/04/2000,29.59880702
31/03/2000,29.82114548
29/02/2000,30.16577008
31/01/2000,29.69885932
31/12/1999,29.57657317
30/11/1999,29.42649472
31/10/1999,29.30420856
30/09/1999,29.62659933
31/08/1999,29.79891163
31/07/1999,29.92119778
30/06/1999,30.04348393
31/05/1999,30.13797778
30/04/1999,30.26582239
31/03/1999,30.46036854
28/02/1999,30.68270699
31/01/1999,30.11574393
31/12/1998,29.62659933
30/11/1998,29.37646856
31/10/1998,29.35423472
30/09/1998,29.28197472
31/08/1998,28.98737626
31/07/1998,28.6649855
30/06/1998,28.81506396
31/05/1998,28.81506396
30/04/1998,28.4204132
31/03/1998,27.97573629
28/02/1998,28.22030859
31/01/1998,27.60887783
31/12/1997,27.28648707
30/11/1997,27.01968092
31/10/1997,26.91962862
30/09/1997,26.84736862
31/08/1997,26.69729016
31/07/1997,26.67505632
30/06/1997,26.60279632
31/05/1997,26.57500401
30/04/1997,26.72508247
31/03/1997,26.86960247
28/02/1997,27.01968092
31/01/1997,26.52497786
31/12/1996,26.33043171
30/11/1996,26.0580671
31/10/1996,25.83572864
30/09/1996,25.8134948
31/08/1996,25.7412348
31/07/1996,25.83572864
30/06/1996,26.00804095
31/05/1996,26.1581194
30/04/1996,26.28040556
31/03/1996,26.25817171
29/02/1996,26.03583325
31/01/1996,25.39661019
31/12/1995,25.17427173
30/11/1995,25.10201174
31/10/1995,25.07421943
30/09/1995,25.05198558
31/08/1995,24.92969943
31/07/1995,24.85743943
30/06/1995,24.85743943
31/05/1995,24.65733482
30/04/1995,24.21821637
31/03/1995,23.99587792
28/02/1995,23.94585176
31/01/1995,23.15655024
